Stations,Latitude,Longitude,Altitude,Country,City,Camera,Switch,Status,Last seen
FRPL01,47.238106,-1.554742,25.6,France,Nantes,DMK 23G445,T1500G-10PS,Operational,28/01/2021 20:40
FRPL02,46.628912,-0.659221,141,France,ChapelleauxLys,BASLER 1300gm,TL-SG2210P,Operational,28/01/2021 20:28
FRPL03,47.482477,-0.600625,58,France,Angers,DMK 23G445,TL-SG2210P,Operational,26/01/2021 03:40
FRPL04,48.081912,-0.782894,103.4,France,Laval,BASLER 1300gm,TL-SG2210P,Operational,29/01/2021 18:45
FRPL05,48.015681,0.163854,109,France,Lemans,DMK 23G445,TL-SG2210P,Operational,29/01/2021 17:30
FRRA01,45.192599,5.761051,230.3,France,Grenoble,DMK 23G445,TL-SG2210P,Operational,29/01/2021 18:45
FRRA02,45.779935,4.866197,190,France,Lyon,DMK 23G445,TL-SG2210P,Operational,26/01/2021 06:23
FRRA03,43.149088,38.746165,100,France,Valfrejus,DMK 23G445,DG-108PE,Pending,31/07/2020 12:00
FRRA04,-999.9,-999.9,-999.9,France,Bellevaux,None,TL-SG2210P,NotOperational,31/07/2020 12:00
FRRA05,45.915575,5.626334,867,France,Sutrieu,DMK 23G445,TL-SG2210P,Operational,26/01/2021 18:50
FRRA06,44.621016,4.390887,315,France,Aubenas,DMK 23G445,TL-SG2210P,Production,31/07/2020 12:00
FRRA07,45.996456,4.036814,360,France,Roanne,DMK 23G445,TL-SG2210P,Production,31/07/2020 12:00
FRRA08,36.880495,10.335099,50,France,PicDeBure,DMK 23G445,TL-SG2210P,Production,31/07/2020 12:00
FRRA09,44.883366,4.92375,174,France,Beaumontlesvalence,DMK 33G445,T1500G-10PS,Production,31/07/2020 12:00
FRRA10,45.289471,5.855443,960,France,LeVersoud,BASLER 1300gm,TL-SG2210P,Production,31/07/2020 12:00
FRRA11,-999.9,-999.9,-999.9,France,MontDArbois,None,TL-SG2210P,NotOperational,31/07/2020 12:00
FRRA12,45.289471,5.855443,960,France,StPancrasse,BASLER1300gm,Unknown,Operational,15/05/2022 18:19
FRRE01,-999.9,-999.9,-999.9,France,Maido,None,TL-SG2210P,NotOperational,31/07/2020 12:00
FRRE02,-999.9,-999.9,-999.9,France,LesMakes,None,TL-SG2210P,NotOperational,31/07/2020 12:00
FRRE03,-999.9,-999.9,-999.9,France,Volcan,None,TL-SG2210P,NotOperational,31/07/2020 12:00
FRRE04,-20.900912,55.484154,100,France,LeMoufia,BASLER1300gm,Unknown,Operational,15/05/2022 18:19
GBWL01,51.48611,-3.17787,33,GreatBritain,Cardiff,BASLER 1300gm,TL-SG2210P,Operational,29/01/2021 06:46
ITAB01,42.0996381,14.70246282,100,Italy,Vasto,BASLER1300gm,Unknown,Operational,15/05/2022 18:19
ITCL01,38.11931,15.660189,100,Italy,ReggioCalabria,BASLER 1300gm,TL-SG2210P,Production,31/07/2020 12:00
ITCL02,-999.9,-999.9,-999.9,Italy,Crotone,BASLER1300gm,Unknown,NotOperational,15/05/2022 18:19
ITCL03,-999.9,-999.9,-999.9,Italy,Savelli,BASLER1300gm,Unknown,NotOperational,15/05/2022 18:19
ITCP01,40.862528,14.255361,102,Italy,Napoli,BASLER 1300gm,TL-SG2210P,Production,31/07/2020 12:00
ITCP02,41.121389,14.1751583,30,Italy,Capua,BASLER 1300gm,T1500G-10PS,Operational,29/01/2021 19:20
ITCP03,41.078651,14.339153,220,Italy,Caserta,BASLER 1300gm,T1500G-10PS,Production,21/02/2020 20:54
ITCP04,41.063718,14.645457,298,Italy,Montesarchio,BASLER 1300gm,TL-SG2210P,Production,31/07/2020 12:00
ITER01,44.256571,11.331773,787,Italy,Loiano,BASLER 1300gm,TL-SG2210P,Operational,12/01/2021 06:11
